eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
197307040002,1973,7,4,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,,French Embassy,69.0,France,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,3.0,Minor (likely < $1 million),500.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
197307220001,1973,7,22,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,,Peruian North American Cultural Institute,159.0,Peru,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,3.0,Minor (likely < $1 million),150.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
197307220002,1973,7,22,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,,Colombian Embassy Annex,45.0,Colombia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,3.0,Minor (likely < $1 million),150.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
197409190002,1974,9,19,,0,,159,Peru,3,South America,Arequipa,Arequipa,-16.409501000000002,-71.537384,1.0,0,,,1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,,Bolivian Consulate in Hotel Presidente Building,26.0,Bolivia,,,,,,,,,,,,,,,,,Condor,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,0.0,,2.0,,,1,3.0,Minor (likely < $1 million),75000.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
197411210001,1974,11,21,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,1,Business,7.0,Retail/Grocery/Bakery,,Sears Store,217.0,United States,,,,,,,,,,,,,,,,,Revolutionary Vanguard,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,0.0,,11.0,11.0,,1,3.0,Minor (likely < $1 million),100000.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,1,1,1,
197412070002,1974,12,7,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,-9.0,,,0.0,1,0,2,Armed Assault,,,,,1,Business,8.0,Hotel/Resort,,Sheraton Hotel,217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,3.0,,,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearms,,,,2.0,,,1,3.0,Minor (likely < $1 million),60000.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
197504090001,1975,4,9,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,0.0,,,0.0,1,0,9,Unknown,,,,,9,Food or Water Supply,52.0,Water Supply,,drinking water service,159.0,Peru,,,,,,,,,,,,,,,,,Revolutionary Vanguard,,,,,,,0.0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0.0,,,0.0,,,1,3.0,Minor (likely < $1 million),2500.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,0,0,0,
197506080001,1975,6,8,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),45.0,"Diplomatic Personnel (outside of embassy, consulate)",,U.S Ambassador's Residence,217.0,United States,,,,,,,,,,,,,,,,,Movement of the Revolutionary Left (MIR) (Peru),,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,Minor (likely < $1 million),0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,0,1,1,1,
197702220002,1977,2,22,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,0,1.0,1.0,Insurgency/Guerilla Action,0.0,1,0,3,Bombing/Explosion,,,,,4,Military,27.0,Military Barracks/Base/Headquarters/Checkpost,,Cuban military attache residence,51.0,Cuba,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0.0,,,0.0,,,1,4.0,Unknown,,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
197706180002,1977,6,18,,0,,159,Peru,3,South America,Lima,Lima,-11.967367999999999,-76.978462,1.0,0,,,1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21.0,Government Building/Facility/Office,,government office,159.0,Peru,,,,,,,,,,,,,,,,,Unknown,,,,,,,0.0,,,0,,,,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Explosive,,,,,,,1,3.0,Minor (likely < $1 million),1500.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,
